laureate_id,laureate_name,prize_year,title,pub_year,paper_id,target_doi,journal,affiliation,is_prize_winning,field
30090,"smith, ho",1978,a restriction enzyme from hemophilus influenzae i purification and general properties,1970,1506010125,10.1016/0022-2836(70)90149-X,journal of molecular biology,j craig venter institute,YES,medicine
30090,"smith, ho",1978,a restriction enzyme from hemophilus influenzae ii base sequence of the recognition site,1970,1534152204,10.1016/0022-2836(70)90150-6,journal of molecular biology,j craig venter institute,YES,medicine
30091,"schally, av",1977,discovery of modification of the synthetic tripeptide sequence of the thyrotropin releasing hormone having activity,1969,2014610831,10.1016/0006-291X(69)90889-4,biochemical and biophysical research communications,tulane university,YES,medicine
30091,"schally, av",1977,the identity of chemical and hormonal properties of the thyrotropin releasing hormone and pyroglutamyl histidyl proline amide,1969,2130799585,10.1016/0006-291X(69)90868-7,biochemical and biophysical research communications,tulane university,YES,medicine
30092,guillemi.r,1977,characterization of ovine hypothalamic hypophysiotropic tsh releasing factor,1970,2087547931,10.1038/226321a0,nature,,YES,medicine
30093,"yalow, rs",1977,quantitative aspects of the reaction between insulin and insulin binding antibody,1959,2105670555,10.1172/JCI103979,journal of clinical investigation,united states department of veterans affairs,YES,medicine
30093,"yalow, rs",1977,insulin i131 metabolism in human subjects demonstration of insulin binding globulin in the circulation of insulin treated subjects,1956,2111637985,10.1172/JCI103262,journal of clinical investigation,united states department of veterans affairs,YES,medicine
30093,"yalow, rs",1977,immunoassay of endogenous plasma insulin in man,1960,2015230257,10.1172/JCI104130,journal of clinical investigation,united states department of veterans affairs,YES,medicine
30093,"yalow, rs",1977,assay of plasma insulin in human subjects by immunological methods,1959,2028994036,10.1038/1841648b0,nature,united states department of veterans affairs,YES,medicine
30094,"gajdusek, dc",1976,experimental transmission of a kuru like syndrome to chimpanzees,1966,2043400793,10.1038/209794a0,nature,national institutes of health,YES,medicine
30095,"blumberg, bs",1976,a new antigen in leukemia sera,1965,2082505865,10.1001/jama.1965.03080070025007,jama,,YES,medicine
30096,baltimor.d,1975,viral rna dependent dna polymerase rna dependent dna polymerase in virions of rna tumour viruses,1970,2013241878,10.1038/2261209a0,nature,albert einstein college of medicine,YES,medicine
30097,"temin, hm",1975,viral rna dependent dna polymerase rna dependent dna polymerase in virions of rous sarcoma virus,1970,201050536,10.1038/2261211a0,nature,university of wisconsin madison,YES,medicine
30098,"dulbecco, r",1975,plaque formation and isolation of pure lines with poliomyelitis viruses,1954,2046171723,10.1084/jem.99.2.167,journal of experimental medicine,salk institute for biological studies,YES,medicine
30099,"duve, cd",1974,tissue fractionation studies 6 intracellular distribution patterns of enzymes in rat liver tissue,1955,1205458192,10.1042/bj0600604,biochemical journal,catholic university of leuven,YES,medicine
30099,"duve, cd",1974,tissue fractionation studies 5 the association of acid phosphatase with a special class of cytoplasmic granules in rat liver,1955,170240114,10.1042/bj0590438,biochemical journal,catholic university of leuven,YES,medicine
30099,"duve, cd",1974,tissue fractionation studies 4 comparative study of the binding of acid phosphatase  glucuronidase and cathepsin by rat liver particles,1955,2415205045,10.1042/bj0590433,biochemical journal,catholic university of leuven,YES,medicine
30100,"palade, ge",1974,the fine structure of neurons,1955,2106858079,10.1083/jcb.1.1.69,journal of cell biology,rockefeller university,YES,medicine
